CustomerID,OrderID,CustomerName,OrderDate
5,10384,Berglunds snabbköp,1996-12-16
75,10385,Split Rail Beer & Ale,1996-12-17
21,10386,Familia Arquibaldo,1996-12-18
70,10387,Santé Gourmet,1996-12-18
72,10388,Seven Seas Imports,1996-12-19
10,10389,Bottom-Dollar Marketse,1996-12-20
20,10390,Ernst Handel,1996-12-23
17,10391,Drachenblut Delikatessend,1996-12-23
59,10392,Piccolo und mehr,1996-12-24
71,10393,Save-a-lot Markets,1996-12-25
36,10394,Hungry Coyote Import Store,1996-12-25
35,10395,HILARIÓN-Abastos,1996-12-26
25,10396,Frankenversand,1996-12-27
60,10397,Princesa Isabel Vinhoss,1996-12-27
71,10398,Save-a-lot Markets,1996-12-30
83,10399,Vaffeljernet,1996-12-31
19,10400,Eastern Connection,1997-01-01
65,10401,Rattlesnake Canyon Grocery,1997-01-01
20,10402,Ernst Handel,1997-01-02
20,10403,Ernst Handel,1997-01-03
49,10404,Magazzini Alimentari Riuniti,1997-01-03
47,10405,LINO-Delicateses,1997-01-06
62,10406,Queen Cozinha,1997-01-07
56,10407,Ottilies Käseladen,1997-01-07
23,10408,Folies gourmandes,1997-01-08
54,10409,Océano Atlántico Ltda.,1997-01-09
10,10410,Bottom-Dollar Marketse,1997-01-10
10,10411,Bottom-Dollar Marketse,1997-01-10
87,10412,Wartian Herkku,1997-01-13
41,10413,La maison d'Asie,1997-01-14
21,10414,Familia Arquibaldo,1997-01-14
36,10415,Hungry Coyote Import Store,1997-01-15
87,10416,Wartian Herkku,1997-01-16
73,10417,Simons bistro,1997-01-16
63,10418,QUICK-Stop,1997-01-17
68,10419,Richter Supermarkt,1997-01-20
88,10420,Wellington Importadora,1997-01-21
61,10421,Que Delícia,1997-01-21
27,10422,Franchi S.p.A.,1997-01-22
31,10423,Gourmet Lanchonetes,1997-01-23
51,10424,Mère Paillarde,1997-01-23
41,10425,La maison d'Asie,1997-01-24
29,10426,Galería del gastrónomo,1997-01-27
59,10427,Piccolo und mehr,1997-01-27
66,10428,Reggiani Caseifici,1997-01-28
37,10429,Hungry Owl All-Night Grocers,1997-01-29
20,10430,Ernst Handel,1997-01-30
10,10431,Bottom-Dollar Marketse,1997-01-30
75,10432,Split Rail Beer & Ale,1997-01-31
60,10433,Princesa Isabel Vinhoss,1997-02-03
24,10434,Folk och fä HB,1997-02-03
16,10435,Consolidated Holdings,1997-02-04
7,10436,Blondel père et fils,1997-02-05
87,10437,Wartian Herkku,1997-02-05
79,10438,Toms Spezialitäten,1997-02-06
51,10439,Mère Paillarde,1997-02-07
71,10440,Save-a-lot Markets,1997-02-10
55,10441,Old World Delicatessen,1997-02-10
20,10442,Ernst Handel,1997-02-11
66,10443,Reggiani Caseifici,1997-02-12
